State;City;Population;;;;
Indiana;South Bend;101 190;;;;
Arizona;North Pinal;100 105;;;;
Wisconsin;Kenosha;99 894;;;;
Florida;South Westside;99 883;;;;
Maryland;Columbia;99 615;;;;
Pennsylvania;Erie;99 452;;;;
Virginia;Roanoke;99 428;;;;
Oregon;Hillsboro;99 393;;;;
Michigan;Flint;99 002;;;;
Texas;San Angelo;98 975;;;;
Florida;Davie;98 895;;;;
Florida;Spring Hill;98 621;;;;
California;Compton;98 597;;;;
Colorado;Greeley;98 596;;;;
New York;Albany;98 566;;;;
Washington;Renton;98 404;;;;
California;Vista;98 079;;;;
California;Mission Viejo;97 209;;;;
Oklahoma;Lawton;97 017;;;;
Colorado;Highlands Ranch;96 713;;;;
California;South Gate;96 312;;;;
Alabama;Tuscaloosa;96 122;;;;
Virginia;Portsmouth;96 004;;;;
California;Vacaville;95 856;;;;
Michigan;Dearborn;95 535;;;;
Oregon;Beaverton;95 109;;;;
Michigan;Livonia;94 958;;;;
Massachusetts;New Bedford;94 845;;;;
Massachusetts;Brockton;94 779;;;;
Nevada;Sparks;94 708;;;;
Texas;League City;94 403;;;;
Texas;Allen;94 179;;;;
Georgia;Roswell;94 089;;;;
Texas;Southeast Harris;93 921;;;;
Missouri;Lee's Summit;93 864;;;;
Texas;The Woodlands;93 847;;;;
New Mexico;Rio Rancho;93 820;;;;
Washington;Federal Way;93 425;;;;
Arizona;Yuma;93 400;;;;
Massachusetts;Quincy;93 397;;;;
Washington;Yakima;93 357;;;;
California;Elsinore Valley;93 311;;;;
California;Carson;93 271;;;;
California;Santa Monica;92 987;;;;
California;San Marcos;92 929;;;;
Kansas;Lawrence;92 763;;;;
California;Hesperia;92 749;;;;
California;Arden-Arcade;92 186;;;;
Massachusetts;Lynn;92 137;;;;
California;Westminster;92 068;;;;
Utah;Orem;91 781;;;;
Florida;Miami Beach;91 732;;;;
Washington;Spokane Valley;91 729;;;;
California;Redding;91 593;;;;
California;Palos Verdes;91 593;;;;
Florida;Plantation;91 457;;;;
Florida;Boca Raton;91 332;;;;
Florida;Sunrise;91 256;;;;
California;Santa Barbara;91 196;;;;
Utah;Sandy;91 148;;;;
Colorado;Longmont;90 237;;;;
Georgia;Macon;89 981;;;;
North Carolina;Greenville;89 852;;;;
California;San Leandro;89 351;;;;
California;Chico;89 180;;;;
California;Loomis Basin-Folsom Lake;89 014;;;;
Illinois;Waukegan;88 915;;;;
New Jersey;Toms River;88 791;;;;
Massachusetts;Fall River;88 712;;;;
Oklahoma;Edmond;88 605;;;;
New York;Greenburgh;88 400;;;;
Massachusetts;Newton;88 287;;;;
Idaho;Nampa;88 211;;;;
Connecticut;Norwalk;88 145;;;;
North Carolina;Asheville;87 882;;;;
Pennsylvania;Reading;87 812;;;;
Idaho;Meridian;87 743;;;;
