count,mass
8.0,3.0
1.0,1.0
2.0,1.0
1.0,0.0
1.0,1.0
2.0,5.0
2.0,31.0
8.0,51.0
56.0,80.0
2.0,3.0
2.0,4.0
1.0,2.0
1.0,60.0
2.0,1.0
30.0,18.0
5.0,1.0
7.0,870.0
199.0,484.0
7.0,1156.0
7.0,3.0
9.0,3.0
5.0,16.0
12.0,15.0
58.0,219.0
3.0,1.0
1.0,141.0
15.0,11139.0
1.0,0.0
1.0,1.0
76.0,37.0
2.0,3.0
1.0,2.0
332.0,60.0
2.0,330.0
23.0,7.0
4.0,4.0
1.0,1.0
2.0,1.0
3.0,1.0
6.0,2.0
1.0,1.0
1.0,5.0
1.0,3.0
1.0,9.0
1.0,0.0
1.0,1.0
1.0,1.0
111.0,32.0
22.0,429.0
3.0,2.0
82.0,1.0
1.0,0.0
4.0,1.0
16.0,2.0
1.0,1.0
1.0,22.0
3.0,19.0
49.0,29.0
7.0,12.0
24.0,22.0
1.0,1.0
1.0,1.0
1.0,1.0
118.0,15.0
2.0,6.0
4.0,77.0
2.0,248.0
2.0,0.0
1.0,1.0
7.0,2.0
6.0,2.0
3.0,9.0
1.0,1.0
3.0,1.0
2.0,1.0
8.0,15.0
3.0,574.0
1.0,0.0
2.0,1230.0
1.0,77.0
1.0,52.0
1.0,239.0
1.0,2.0
129.0,1952.0
51.0,1590.0
1.0,0.0
80.0,117.0
27.0,43.0
5.0,4.0
5.0,5.0
1.0,0.0
22.0,8.0
3.0,28.0
4.0,3.0
3.0,3.0
1.0,2.0
2.0,0.0
2.0,0.0
1.0,0.0
1.0,3.0
2.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,5.0
1.0,0.0
1.0,3.0
3.0,4.0
7.0,2.0
9.0,3.0
6.0,2.0
59.0,12.0
23.0,314.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,8.0
7.0,1.0
1.0,0.0
1.0,1.0
6.0,990.0
4.0,0.0
1.0,0.0
9.0,4670.0
2.0,77.0
3.0,12.0
8.0,6.0
1.0,3.0
1.0,1.0
370.0,755.0
1.0,1.0
1.0,2.0
1.0,0.0
6.0,154.0
5.0,647.0
5.0,5.0
2.0,1.0
1.0,5.0
16.0,156.0
9.0,71.0
22.0,30.0
71.0,47.0
2.0,5.0
23.0,92.0
3.0,1.0
4.0,2.0
1.0,1.0
1.0,2.0
8.0,4.0
6.0,8.0
20.0,100.0
1.0,7.0
1.0,81.0
2.0,24.0
2.0,7.0
4.0,28.0
3.0,7.0
1.0,5.0
1.0,7.0
4.0,20.0
4.0,168.0
1.0,2.0
1.0,55.0
1.0,0.0
8.0,11.0
12.0,7.0
12.0,10.0
4.0,1.0
1.0,4.0
1.0,1.0
7.0,7.0
2.0,5.0
1.0,1.0
3.0,27.0
3.0,8.0
1.0,1.0
3.0,8.0
6.0,1745.0
63.0,154.0
1.0,3.0
1.0,3.0
5.0,1.0
